museum_name,name,rating,review
Old City Art Space,Barbara Fava,5.0,I’m constantly looking for something new to post on my instagram and this kind of museums caught my eyes since last time I was here in Indonesia but couldn’t visit for time schedule. I went today with my husband and a couple of friends and we had so much fun and took tons of crazy photos I’ll show you here. The staff is super friendly and helps you taking the photos! Definitely a good museum to visit and learn more about 3D photography!
Old City Art Space,Ulfah Hidayatullah,3.0,"When I visited this area, 3D museum was still under renovation. So I just watched and took pictures from outside the building. Ummhh... a little weird with this big picture at the entrance. Why don't they think the chosen picture is a hero or anyone who plays a role in the establishment of Semarang City? This is actually a picture of a dog soldier 🤦🏾‍♀️"
Old City Art Space,Mia Fitriyanti,4.0,"this place has great backgrounds with various 3D effects. Taking picture in each backrounds brings you to an unusual experience. Located in the old town of Semarang, this place also has great views around it"
Old City Art Space,Heru Kasidi,5.0,Very interesting place of old city if Semarang. Worth to visit for observing the beautiful old building and hang out with friends.
Old City Art Space,Avissa Suseno,4.0,"Good place that was made in regards to make 3D effect photos result. You need to pay for 50,000 IDR/person."
Old City Art Space,Jane Bing,5.0,A very unique place to go if you have time in semarang. Only for 20k ( they receive gopay/ovo too) The staff id very nice and helpful. He master the skill of photography and took a great photo too! The place is quite small but its a great experience
Old City Art Space,Anisa Kumala,5.0,Semarang's old city which has now turned out to be good and there are lots of visitors who come around it just for photo photos on the edge of the building around the old city of Semarang there are also many tourists who come but the place is very hot maybe because of lack of trees
Old City Art Space,Handry Carlos,3.0,"Ive been to other trick eye museum, this one feel like they lack of people for taking photoshoot of you, what does this museum mean when u came alone and no one to take your photo?"
Old City Art Space,Haifa Amalia Khoirunisah,3.0,I give 3 stars because the price is not appropriate for someone who expect a great adventure in taking 3D pictures. The picture of 3D looks old. And the lighting is not so good to take picture. But the service is good. You can ask help for taking picture to the employee there. Good
Old City Art Space,Radka Hola,5.0,It was fun..the staff was really helpful and friendly.. It takes only 20mins..but not expensive
Old City Art Space,virgan rakhmat yusuf,5.0,"Great and unique place to visit, especially for Instagram content hunter. Really crowded in holiday and weekend.Visited on Public holiday Wait time No wait Reservation recommended No …More"
Old City Art Space,Hape Kece,4.0,"Unique, don't forget to visit here. This museum is very cool with awesome and interested properties and galleries that will make you feel Wow. Nah untuk yang bingung, lokasinya dekat Gereja Blenduk / Taman Srigunting. Biaya masuk Rp. 40.000"
Old City Art Space,Nindya Nastiti Puspitasari,4.0,A cute place to have a unique and 'gag'-y photograph! 🤣
Old City Art Space,laninca sitorus,5.0,Too many cute and beautiful scene to capture. Love it.
Old City Art Space,Woongs,5.0,Provides a lot of cute and awesome ideas of 3D pictures and it challenge our creativity to capture our best pose with the wallpaper ~ Not really wide yet cool enough to take every routes here ^^
Old City Art Space,Fransiscus Prawirasmoro,4.0,"Small but ok. Don't, forget to bring decent camera or smartphone camera to take pictures"
Old City Art Space,Danang Heru Wibowo,5.0,Once of 3D trick art museum in semarang that you need to see and find your happiness in there.. Feels like we already go to the place that created by..
Old City Art Space,Dini Astari,5.0,"The place is unique and interesting. The entrance fee is quite cheap (around IDR 50k). You can use a certain app to get a cheaper price if you buy it at least one day earlier. The staff was really nice and kind. He explained on how to get a really nice pictures. If you are travelling solo and the place isn't crowded yet, the staff can help you take pictures. They also sell lots of souvenirs, like t-shirts, fridge magnets, keyrings, etc."
Old City Art Space,Henny Lim,4.0,"Right on the corner where taxis usually stop by, the building looks vintage-but-clean from the outside. Entrance ticket is IDR 50k. Inside you can find a lot of tricky images, where you must adjust camera positioning to have fun photographs. The fun works better if you visit the museum in a group, for at least 2-3 persons, so your friends can help you taking the picture. If you're alone or just a group of 2, staffs are available to help you, but in peak days (esp Saturdays) they are a bit busy and there might be a long queue of visitors asking them to take pictures."
Old City Art Space,Ario Wirawan,5.0,"Awesome place to be in. ""Museum"" is just a name, because it definitely is not. It's essentially a photo booth, except it's huge and has plenty of 3D effect backgrounds to choose from where the results of the photos would seem like you were one with or/and inside the background. Perfect for family and group friends time."
Old City Art Space,Charylia Knightmare,5.0,"Best place to wasting your time with or without your family. So many good background with small detail are ready to make your picture looking so great. They provide some unique costume. The super friendly staff will help you to take some picture of you. For solo traveler, it's the good news. Because the staff will follow you all around the Museum to capture your picture. There is no photo spot in every background. So, you need to see the picture that hanged beside the background to see how the background work on you. The Museum sell some souvenirs with reasonable price. Such as t-shirt. It's 170k/ shirt."
Old City Art Space,Ameylinda Monica W,5.0,the ticket is a little bit pricey for me as a student but it's all worth when I step inside and exploring every 3D and trickart spot in it. very clean and nice staff everywhere to help you taking photos. just bring your valid school/university identity card to get 50% ticket discount.
Old City Art Space,Dadang NH,4.0,"Creative! Photoshoot place with unique designs. There are staff who will help you take photos. And they sell souvenirs. Unfortunately their parking space is so small. don't come by at weekend, there is so much people and it can distract your photo session."
Old City Art Space,Pradnyan Ibad,5.0,You may find a lot of eye tricking picts here lol
Old City Art Space,Yozar Firdaus Amrullah,5.0,"A nice place to take pictures, selfie, wefie. There are various interesting backgrounds that you can choose. You may need an hour or two to explore this place. The location is strategic. It is in old city of Semarang area. If you cannot shoot the picture yourself, there are staffs that may help you to do. Overall it is Dope 🙌🏻"
Old City Art Space,Yudha A Setyawan,5.0,nice place for tak a picture
Old City Art Space,naomi resiana,5.0,Nice place to do trick art photography. Located at Kota Lama Semarang.
Old City Art Space,Muhammad Arif Widyanto,5.0,"worth the money, very recommended placeVisited on Weekend Wait time 1 hr+ Reservation recommended Yes …More"
Old City Art Space,Asep Widodo,5.0,Old taste.. Nice place..
Old City Art Space,pandu aristiawan,5.0,Beautiful place you can spend with family
Old City Art Space,Antonius Hernanda,4.0,"Quite nice place. Many interesting 3D spot to take photograph. But at that time its so messy, they still renovated the place. Hope it going to be better now. Can wait to visit again."
Old City Art Space,adangnof,3.0,Place for taking fun photos with 3d painting background
